name,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean
Dummy prior,0.1169818614274474,5.256047063156758e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1169818623577975,1.3140920055191638e-05,0.0439743995666503
Decision tree gini,0.1763757012549389,0.007513310118067,0.6089323753930491,0.0091499767140495,0.3089129885741465,0.0155891303924428,0.307673266734944,0.0135348497391288,0.3103282060728869,0.0186926116906723,1.0,0.0,0.24315767288208
Decision tree entropy,0.1753883056734373,0.0077252396828818,0.6090955408083625,0.0085925537914871,0.3081340559857376,0.0153144873192457,0.3018060586504186,0.0173589486730654,0.3148190945096167,0.0135486077309593,1.0,0.0,0.2620399951934814
Decision tree depth 6 leaf 50,0.347166392318915,0.0077959073109109,0.7490134140782345,0.0022657079893185,0.3922576994046899,0.0084806845773521,0.3009686519691092,0.0156116651645428,0.566303264755876,0.0254564534661216,0.3657583919621534,0.0021964661320252,0.1285752296447753
Random forest,0.411337726363271,0.0152920457276417,0.7769838648403598,0.0041820039073894,0.4245003004165515,0.0209096941148631,0.4769655543747318,0.0167045191641941,0.3826521640834987,0.024175547588671,1.0,0.0,1.3001025199890135
HistGradientBoosting,0.440183085036801,0.009539800963254,0.7951364280236309,0.0027595737870123,0.4458640690056553,0.0099176545212361,0.3507823608010944,0.0120159638397522,0.6121513560585128,0.00673412566664,0.5224076890492517,0.0093593727031827,1.0221532344818116
HistGradientBoosting-tuned,0.4489031385914375,0.0111792451713816,0.7977679267814354,0.0008955211949887,0.4462913135935079,0.0072685904741842,0.3474015277192652,0.0100825364203938,0.6244394762770005,0.0070226973139368,0.5195690127512929,0.0069180191247691,3.202560615539551
KNeighbors,0.3355163675845086,0.0117471056436793,0.7291438973237098,0.0054695033704129,0.2564344507180429,0.0113361788471759,0.6075185327033998,0.0290260186904976,0.1626092368838984,0.0079660769057068,0.4512022420285395,0.0029866546617868,0.0468757152557373
Decision tree-tuned,0.4028566690744647,0.0132885658495129,0.7567310210514553,0.0082993793946772,0.3601068101017421,0.0057398985609203,0.2460540037987227,0.0047162382308111,0.6717129850592133,0.017116064200116,0.4901125472697756,0.001234728692313,0.3713098049163818
Random forest-tuned,0.4375219938911251,0.0139166478084038,,,,,,,,,0.7008305464126388,0.0038976979892876,32.61401605606079
KNeighbors-tuned,0.3887053241589263,0.010675130269362683,0.754646074783374,0.0012793498224640777,0.23764979939351485,0.011928189933326777,0.671732751188115,0.030047119071883486,0.14440899740706317,0.007865247739164657,1.0,0.0,0.04837279319763184
