age,balance,day,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome
42,2519,15,4,-1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown
37,2209,20,2,-1,0,technician,married,secondary,no,no,no,unknown,jun,unknown
32,923,17,4,-1,0,admin.,married,secondary,no,yes,no,cellular,apr,unknown
53,306,28,3,181,1,blue-collar,married,primary,no,no,no,cellular,jul,success
32,257,2,5,-1,0,technician,single,tertiary,no,yes,no,unknown,jun,unknown
28,-36,18,1,-1,0,admin.,single,secondary,no,yes,no,cellular,may,unknown
41,0,31,14,-1,0,unemployed,married,secondary,no,no,no,cellular,jul,unknown
36,3457,19,4,-1,0,admin.,single,secondary,no,no,no,unknown,may,unknown
44,236,12,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown
28,1285,30,2,2,17,blue-collar,single,secondary,no,no,no,telephone,jan,other
35,-41,2,1,-1,0,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
50,315,8,1,119,1,entrepreneur,divorced,tertiary,no,no,no,cellular,jan,failure
31,0,21,1,-1,0,services,married,secondary,no,no,yes,cellular,nov,unknown
55,1467,29,2,-1,0,retired,married,secondary,no,no,yes,cellular,jul,unknown
31,1957,4,3,-1,0,entrepreneur,single,tertiary,no,no,no,cellular,feb,unknown
44,-329,7,1,-1,0,technician,divorced,secondary,no,yes,no,unknown,may,unknown
36,1,13,1,-1,0,management,single,tertiary,no,yes,no,cellular,may,unknown
70,5563,6,1,-1,0,management,married,tertiary,no,no,no,cellular,feb,unknown
37,-689,18,1,-1,0,blue-collar,divorced,secondary,yes,no,no,unknown,jun,unknown
30,778,18,2,346,2,technician,single,secondary,no,yes,no,cellular,may,failure
