age,balance,day,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome
40,580,16,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown
47,3644,9,2,-1,0,services,single,secondary,no,no,no,unknown,jun,unknown
25,538,20,1,-1,0,student,single,tertiary,no,yes,no,cellular,apr,unknown
42,1773,9,1,336,1,management,married,tertiary,no,no,no,cellular,apr,failure
56,217,21,2,-1,0,management,married,tertiary,no,no,yes,cellular,jul,unknown
28,1134,9,3,-1,0,blue-collar,married,secondary,no,no,no,cellular,feb,unknown
24,1085,7,6,-1,0,management,single,tertiary,no,no,yes,cellular,may,unknown
37,127,23,4,-1,0,admin.,single,secondary,no,no,no,cellular,mar,unknown
30,3,25,1,-1,0,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown
38,258,20,2,-1,0,technician,single,secondary,no,no,yes,unknown,jun,unknown
33,498,30,1,-1,0,blue-collar,single,secondary,no,no,no,cellular,apr,unknown
48,65,14,1,370,1,blue-collar,divorced,secondary,no,yes,no,cellular,may,failure
30,18,9,1,-1,0,blue-collar,single,secondary,no,no,no,unknown,may,unknown
31,883,5,2,106,1,management,divorced,tertiary,no,yes,no,cellular,mar,failure
30,640,6,4,213,2,management,single,tertiary,no,no,no,cellular,feb,failure
30,536,15,1,105,1,management,single,tertiary,no,no,no,cellular,oct,success
35,247,13,1,352,5,blue-collar,married,secondary,no,yes,yes,cellular,may,failure
31,518,18,1,-1,0,management,single,tertiary,no,yes,no,cellular,may,unknown
46,0,23,3,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown
33,5437,4,1,91,1,management,single,tertiary,no,no,no,cellular,may,failure
49,-478,20,1,-1,0,self-employed,divorced,secondary,no,yes,yes,cellular,nov,unknown
35,991,6,3,-1,0,management,married,tertiary,no,yes,no,cellular,may,unknown
43,-755,5,1,337,1,blue-collar,married,secondary,no,yes,yes,cellular,may,failure
44,-239,27,3,-1,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown
33,3017,21,3,-1,0,entrepreneur,single,tertiary,no,no,no,cellular,nov,unknown
33,184,13,4,-1,0,services,married,secondary,no,yes,no,unknown,may,unknown
23,431,13,2,-1,0,student,single,secondary,no,no,no,cellular,aug,unknown
47,699,5,1,-1,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown
60,914,4,1,-1,0,technician,married,secondary,no,no,no,unknown,aug,unknown
51,7816,12,2,-1,0,blue-collar,married,tertiary,no,yes,no,unknown,may,unknown
56,728,18,2,110,15,retired,married,secondary,no,no,no,cellular,nov,failure
59,3428,19,1,-1,0,management,married,unknown,no,yes,yes,cellular,nov,unknown
49,223,28,22,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown
49,2254,5,1,-1,0,admin.,married,secondary,no,no,no,cellular,aug,unknown
56,589,18,1,26,3,technician,married,secondary,no,yes,no,cellular,nov,success
38,79,20,2,-1,0,technician,married,secondary,no,yes,no,cellular,aug,unknown
46,78,7,1,-1,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown
58,409,14,2,-1,0,technician,single,secondary,no,no,yes,cellular,jul,unknown
36,352,21,2,-1,0,entrepreneur,married,secondary,no,yes,no,unknown,may,unknown
29,-312,14,2,-1,0,blue-collar,married,secondary,no,yes,yes,cellular,may,unknown
39,1044,2,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,feb,unknown
36,227,7,4,-1,0,management,single,tertiary,no,no,yes,cellular,aug,unknown
37,1967,27,1,-1,0,admin.,married,secondary,no,no,no,telephone,oct,unknown
44,650,6,2,-1,0,entrepreneur,married,primary,no,yes,no,cellular,may,unknown
34,1309,12,2,364,1,blue-collar,married,primary,no,yes,no,cellular,may,failure
51,115,8,1,-1,0,admin.,divorced,secondary,no,yes,yes,unknown,may,unknown
27,337,9,1,-1,0,technician,single,secondary,no,no,no,unknown,jul,unknown
49,874,16,2,-1,0,technician,divorced,tertiary,no,yes,no,unknown,may,unknown
65,679,13,2,178,1,retired,married,unknown,no,no,no,cellular,may,success
36,8114,6,1,-1,0,services,married,secondary,no,yes,no,unknown,jun,unknown
32,453,2,1,269,2,management,single,secondary,no,yes,no,cellular,feb,failure
56,0,5,2,-1,0,management,married,tertiary,no,yes,no,telephone,may,unknown
28,258,24,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown
59,2540,16,5,-1,0,management,married,tertiary,no,no,no,cellular,jul,unknown
28,196,26,7,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
33,14889,3,3,-1,0,unemployed,single,tertiary,no,yes,no,cellular,feb,unknown
44,0,8,2,-1,0,management,married,tertiary,no,no,no,cellular,jul,unknown
39,1340,18,2,-1,0,housemaid,single,primary,no,no,no,unknown,jun,unknown
33,1323,1,1,-1,0,management,married,tertiary,no,no,no,cellular,jun,unknown
60,4722,20,3,-1,0,unknown,married,primary,no,no,no,unknown,jun,unknown
34,267,8,2,-1,0,services,single,secondary,no,no,no,cellular,jul,unknown
33,60,9,1,-1,0,blue-collar,divorced,primary,no,no,no,unknown,may,unknown
39,355,25,5,-1,0,management,divorced,tertiary,no,yes,no,cellular,aug,unknown
31,-452,26,5,-1,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown
38,93,3,2,-1,0,management,married,secondary,no,no,no,unknown,jul,unknown
32,10142,20,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown
24,82,5,2,-1,0,student,single,secondary,no,yes,no,unknown,may,unknown
40,1270,8,2,-1,0,self-employed,married,secondary,no,yes,no,cellular,may,unknown
47,80,16,5,-1,0,technician,single,secondary,no,yes,no,cellular,jul,unknown
37,-17,11,2,340,2,admin.,single,secondary,no,yes,no,cellular,may,failure
57,113,3,2,-1,0,management,married,tertiary,no,no,no,cellular,feb,unknown
44,447,14,5,-1,0,admin.,married,secondary,no,yes,yes,unknown,may,unknown
31,-348,18,1,-1,0,technician,single,secondary,no,yes,no,cellular,may,unknown
29,238,26,1,-1,0,admin.,married,tertiary,no,no,no,cellular,feb,unknown
60,7601,8,1,-1,0,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
55,-14,12,4,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown
50,210,16,2,-1,0,unemployed,married,primary,no,no,no,unknown,jun,unknown
26,1163,28,4,-1,0,services,single,secondary,no,no,yes,cellular,jul,unknown
28,492,2,1,-1,0,management,single,tertiary,no,no,no,cellular,jul,unknown
41,2661,24,1,-1,0,admin.,married,secondary,no,yes,no,telephone,jul,unknown
33,1,5,1,-1,0,unknown,single,unknown,no,no,no,unknown,may,unknown
37,123,6,2,-1,0,technician,married,secondary,no,yes,yes,unknown,may,unknown
53,104,5,1,-1,0,housemaid,married,primary,no,no,yes,unknown,jun,unknown
45,-312,18,4,-1,0,self-employed,married,tertiary,no,no,no,telephone,nov,unknown
61,2282,25,1,-1,0,technician,married,primary,no,no,no,cellular,nov,unknown
48,375,28,3,-1,0,management,married,unknown,no,no,no,cellular,jan,unknown
29,1165,2,1,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown
34,91,29,4,-1,0,technician,married,secondary,yes,no,no,cellular,aug,unknown
